,price
1015,125.0
1019,128.0
1020,121.0
1021,103.0
1023,151.0
1025,165.0
1029,1250.0
1030,209.0
1031,100.0
1035,777.0
1036,85.0
1037,52.0
1039,375.0
1040,299.0
1041,85.0
1043,189.0
1044,110.0
1046,75.0
1048,95.0
1049,139.0
1051,150.0
1052,800.0
1054,95.0
1056,180.0
1059,173.0
1060,120.0
1061,167.0
1062,180.0
1071,49.0
1073,799.0
1076,115.0
1077,65.0
1078,120.0
1079,39.0
1080,75.0
1082,250.0
1084,139.0
1088,165.0
1095,65.0
1096,70.0
1097,95.0
1098,249.0
1103,115.0
1104,725.0
1106,146.0
1108,68.0
1109,44.0
1111,85.0
1112,107.0
1117,143.0
1119,74.0
1120,271.0
1121,302.0
1123,149.0
1126,795.0
1131,150.0
1132,85.0
1133,2107.0
1134,200.0
1135,265.0
1137,296.0
1138,50.0
1141,129.0
1143,575.0
1144,80.0
1149,819.0
1150,91.0
1152,225.0
1153,75.0
1154,221.0
1155,119.0
1156,907.0
1157,163.0
1160,149.0
1164,175.0
1165,200.0
1169,600.0
1171,139.0
1172,139.0
1175,85.0
1176,139.0
1178,219.0
1180,400.0
1182,125.0
1183,250.0
1184,83.0
1185,69.0
1186,350.0
1188,120.0
1189,60.0
1190,195.0
1191,190.0
1192,60.0
1193,195.0
1195,96.0
1196,79.0
1198,85.0
1209,500.0
1210,600.0
1212,525.0
1213,97.0
1215,78.0
1216,120.0
1220,150.0
1221,65.0
1227,59.0
1228,49.0
1230,1000.0
1231,125.0
1232,233.0
1234,375.0
1235,165.0
1236,425.0
1239,235.0
1241,255.0
1245,100.0
1248,99.0
1250,200.0
1251,68.0
1255,59.0
1265,145.0
1266,92.0
1271,79.0
1272,278.0
1277,70.0
1279,142.0
1280,65.0
1281,161.0
1285,98.0
1286,245.0
1289,450.0
1291,312.0
1297,76.0
1300,257.0
1303,69.0
1307,328.0
1309,70.0
1310,100.0
1313,699.0
1315,75.0
1321,299.0
1323,75.0
1326,229.0
1338,68.0
1339,1195.0
1341,175.0
1344,200.0
1348,184.0
1349,75.0
1350,91.0
1354,80.0
1355,173.0
1356,106.0
1358,69.0
1360,523.0
1363,273.0
1365,119.0
1367,200.0
1370,125.0
1372,65.0
1373,366.0
1374,210.0
1379,75.0
1382,110.0
1385,155.0
1388,128.0
1389,89.0
1392,115.0
1395,167.0
1396,42.0
1397,123.0
1410,64.0
1411,90.0
1412,58.0
1413,85.0
1415,135.0
1416,85.0
1417,138.0
1418,149.0
1419,85.0
1421,50.0
1424,165.0
1426,130.0
1429,240.0
1432,317.0
1435,158.0
1438,100.0
1439,125.0
1442,194.0
1444,56.0
1447,150.0
1450,75.0
1451,44.0
1452,182.0
1453,145.0
1454,90.0
1455,110.0
1457,200.0
1458,152.0
1459,190.0
1460,166.0
1465,120.0
1467,445.0
1475,60.0
1477,104.0
1479,125.0
1480,202.0
1483,300.0
1485,240.0
1487,125.0
1488,104.0
1489,129.0
1490,116.0
1491,120.0
1493,259.0
1495,160.0
1496,206.0
1497,79.0
1498,273.0
1500,74.0
1501,80.0
1503,201.0
1507,179.0
1512,60.0
1514,95.0
1519,230.0
1521,100.0
1522,300.0
1528,350.0
1529,120.0
1530,60.0
1531,91.0
1533,85.0
1536,195.0
1539,85.0
1540,130.0
1541,45.0
1546,165.0
1548,198.0
1549,50.0
1550,199.0
1560,202.0
1561,325.0
1563,156.0
1564,150.0
1566,159.0
1568,225.0
1569,70.0
1571,95.0
1572,164.0
1574,40.0
1575,91.0
1576,300.0
1579,119.0
1581,101.0
1582,45.0
1584,179.0
1585,100.0
1587,70.0
1589,90.0
1592,86.0
1594,220.0
1597,120.0
1598,165.0
1601,195.0
1602,495.0
1607,95.0
1610,120.0
1611,180.0
1613,189.0
1614,129.0
1616,236.0
1617,425.0
1620,250.0
1622,75.0
1624,175.0
1626,50.0
1629,129.0
1630,149.0
1632,175.0
1633,35.0
1635,125.0
1636,200.0
1637,268.0
1638,307.0
1639,103.0
1641,100.0
1643,50.0
1646,140.0
1647,60.0
1649,75.0
1650,80.0
1654,160.0
1655,110.0
1656,97.0
1660,210.0
1661,433.0
1662,275.0
1663,50.0
1666,99.0
1667,169.0
1668,275.0
1671,58.0
1672,169.0
1674,275.0
1675,111.0
1677,88.0
1678,220.0
1679,68.0
1680,44.0
1682,138.0
1685,107.0
1686,207.0
1687,125.0
1690,90.0
1693,60.0
1695,189.0
1697,118.0
1699,75.0
1700,185.0
1702,250.0
1703,85.0
1704,55.0
1706,225.0
1707,200.0
1709,190.0
1711,72.0
1712,420.0
1713,140.0
1715,75.0
1716,95.0
1717,140.0
1719,97.0
1720,179.0
1723,134.0
1725,117.0
1726,90.0
1728,250.0
1729,95.0
1730,144.0
1731,95.0
1733,140.0
1735,56.0
1736,61.0
1738,220.0
1740,114.0
1741,579.0
1743,140.0
1744,75.0
1745,130.0
1746,77.0
1748,112.0
1749,101.0
1757,80.0
1760,344.0
1761,25.0
1762,170.0
1763,25.0
1764,27.0
1772,133.0
1774,275.0
1777,98.0
1779,145.0
1780,126.0
1784,278.0
1786,50.0
1787,140.0
1788,150.0
1792,725.0
1793,100.0
1796,79.0
1797,109.0
1798,108.0
1800,336.0
1802,495.0
1804,220.0
1806,80.0
1807,80.0
1812,86.0
1814,425.0
1815,175.0
1816,100.0
1817,35.0
1818,35.0
1822,186.0
1824,200.0
1826,263.0
1828,75.0
1830,89.0
1831,425.0
1832,79.0
1835,65.0
1837,115.0
1838,65.0
1839,65.0
1840,60.0
1841,350.0
1843,145.0
1844,50.0
1848,142.0
1849,96.0
1850,135.0
1851,175.0
1852,201.0
1855,149.0
1856,183.0
1859,450.0
1863,90.0
1864,130.0
1865,125.0
1867,68.0
1871,181.0
1875,195.0
1878,200.0
1879,159.0
1881,300.0
1882,129.0
1885,85.0
1890,45.0
1892,140.0
1894,170.0
1898,73.0
1900,89.0
1905,250.0
1906,140.0
1907,89.0
1908,380.0
1909,245.0
1910,133.0
1915,400.0
1917,120.0
1918,124.0
1920,99.0
1922,314.0
1924,157.0
1925,440.0
1926,149.0
1928,135.0
1931,199.0
1932,25.0
1936,100.0
1939,150.0
1941,375.0
1942,75.0
1944,128.0
1947,92.0
1948,69.0
1949,140.0
1951,245.0
1954,180.0
1959,53.0
1960,100.0
1963,199.0
1964,243.0
1965,168.0
1966,125.0
1967,404.0
1968,100.0
1970,240.0
1971,115.0
1972,329.0
1973,102.0
1975,180.0
1977,35.0
1978,75.0
1979,140.0
1981,60.0
1982,75.0
1985,109.0
1987,139.0
1989,136.0
1990,105.0
1991,354.0
1992,65.0
1993,129.0
1994,110.0
1996,90.0
1997,79.0
1999,162.0
2000,93.0
2005,225.0
2010,172.0
2013,115.0
2016,143.0
2018,79.0
2019,257.0
2020,793.0
2022,232.0
2026,138.0
2027,1000.0
2031,79.0
2033,75.0
2036,132.0
2037,65.0
2038,71.0
2040,235.0
2041,70.0
2044,145.0
2045,97.0
2046,135.0
2047,89.0
2049,505.0
2050,88.0
2051,97.0
2053,290.0
2055,70.0
2057,341.0
2058,135.0
2061,122.0
2069,66.0
2072,470.0
2074,167.0
2075,213.0
2079,61.0
2083,150.0
2084,350.0
2087,50.0
2091,249.0
2097,53.0
2098,75.0
2104,400.0
2105,65.0
2106,82.0
2109,35.0
2113,200.0
2115,80.0
2117,30.0
2120,67.0
