,latitude,longitude,property_type,accommodates,bathrooms_text,bedrooms,beds
9875,34.17706,-118.59191000000001,Entire townhouse,2,1 bath,1.0,2.0
9876,34.09435,-118.28613999999999,Entire apartment,6,1 bath,2.0,4.0
9877,34.010220000000004,-118.43215,Entire guesthouse,2,1 bath,1.0,1.0
9878,34.09244,-118.28776,Entire apartment,6,1 bath,2.0,4.0
9879,34.093090000000004,-118.28563999999999,Entire apartment,6,1 bath,2.0,4.0
9881,34.09333,-118.28716999999999,Entire apartment,6,2 baths,2.0,3.0
9883,34.093140000000005,-118.28562,Entire apartment,6,2 baths,2.0,4.0
9884,34.09244,-118.28769,Entire apartment,6,2 baths,2.0,3.0
9890,34.09964,-118.28461000000001,Entire townhouse,4,1 bath,1.0,1.0
9891,34.09766,-118.28473999999999,Entire townhouse,4,1 bath,1.0,1.0
9893,34.099270000000004,-118.28375,Entire townhouse,6,1 bath,2.0,3.0
9894,34.09773,-118.28352,Entire townhouse,6,1 bath,2.0,3.0
9900,34.08773,-118.30599,Entire apartment,4,1 bath,1.0,1.0
9901,34.08761,-118.30601999999999,Entire apartment,6,1 bath,2.0,4.0
9902,34.00951,-118.32186000000002,Entire guesthouse,2,1 bath,1.0,1.0
9903,34.01017,-118.29846,Private room in apartment,3,1 shared bath,1.0,1.0
9905,34.09805,-118.31903,Entire townhouse,11,3 baths,3.0,7.0
9906,34.09864,-118.31808000000001,Entire townhouse,9,2 baths,3.0,6.0
9907,34.102579999999996,-118.38856000000001,Entire house,10,5 baths,4.0,4.0
9909,34.099470000000004,-118.3174,Entire townhouse,8,2 baths,3.0,6.0
9911,34.09763,-118.3651,Entire apartment,3,1 bath,1.0,1.0
9912,34.154579999999996,-118.36603000000001,Private room in condominium,1,1 private bath,1.0,1.0
9914,34.01894,-118.44028999999999,Private room in house,2,1.5 shared baths,1.0,1.0
9917,34.06192,-118.3524,Private room in apartment,2,1 shared bath,1.0,2.0
9919,34.10349,-118.35937,Entire house,10,4.5 baths,5.0,6.0
9921,34.09147,-118.28523,Entire apartment,2,1 bath,1.0,1.0
9923,33.98868,-118.47623999999999,Entire apartment,6,1 bath,1.0,1.0
9927,34.04442,-118.23827,Entire loft,4,1 bath,1.0,2.0
9928,34.16025,-118.45427,Entire house,5,1.5 baths,3.0,3.0
9929,34.065059999999995,-118.42412,Private room in house,2,1 private bath,1.0,1.0
9934,34.04586,-118.26281000000002,Entire apartment,3,1 bath,1.0,2.0
9935,34.1638,-118.43763999999999,Private room in house,2,1 private bath,1.0,1.0
9939,34.14705,-118.39503,Entire condominium,2,1 bath,1.0,1.0
9940,33.99796,-118.43815,Entire apartment,3,1 bath,1.0,2.0
9942,34.16603,-118.46105,Private room in house,2,1.5 shared baths,1.0,1.0
9943,33.78587,-118.27743999999998,Entire house,10,2 baths,4.0,5.0
9944,34.00221,-118.43861000000001,Entire townhouse,3,1 bath,1.0,1.0
9945,34.21137,-118.38212,Private room in house,1,1 shared bath,1.0,1.0
9947,34.12562,-118.17764,Entire guesthouse,2,1 bath,1.0,1.0
9950,34.0662,-118.34835,Entire apartment,9,2 baths,2.0,2.0
9951,33.98962,-118.46672,Entire house,3,1 bath,1.0,1.0
9953,34.07132,-118.38248999999999,Entire apartment,4,2 baths,2.0,2.0
9956,34.10543,-118.33801000000001,Entire apartment,3,1 bath,1.0,2.0
9958,34.026309999999995,-118.35212,Entire house,6,2 baths,3.0,4.0
9960,34.105509999999995,-118.30273999999999,Entire apartment,2,1 bath,1.0,1.0
9961,34.10647,-118.30028999999999,Entire townhouse,8,2 baths,4.0,5.0
9963,34.06217,-118.24685,Private room in apartment,3,1.5 baths,1.0,1.0
9965,34.09899,-118.44487,Entire house,6,2 baths,3.0,3.0
9966,34.052240000000005,-118.26217,Entire apartment,6,1 bath,1.0,4.0
9969,34.1144,-118.31987,Entire guest suite,6,1.5 baths,1.0,4.0
9970,34.20984,-118.3841,Entire house,5,1 bath,2.0,2.0
9972,34.11696,-118.33283,Entire apartment,4,1 bath,1.0,2.0
9974,34.10109,-118.34313999999999,Entire townhouse,6,2.5 baths,3.0,4.0
9980,34.04441,-118.25733999999999,Entire apartment,6,1 bath,1.0,2.0
9981,34.00078,-118.31849,Entire house,5,1 bath,2.0,3.0
9986,34.04752,-118.24797,Entire loft,2,1 bath,1.0,1.0
9987,34.14785,-118.45693,Entire house,8,2.5 baths,4.0,5.0
9988,34.10393,-118.34288000000001,Entire apartment,2,1 bath,1.0,1.0
9989,34.05214,-118.26284,Entire apartment,6,2 baths,2.0,2.0
9992,34.003679999999996,-118.4459,Entire house,6,2 baths,3.0,3.0
9996,34.02668,-118.40465,Entire apartment,2,1 bath,1.0,1.0
10003,34.05932,-118.44046999999999,Entire house,10,2.5 baths,3.0,9.0
10005,34.1952,-118.45711000000001,Private room in apartment,2,1 shared bath,1.0,1.0
10006,34.05469,-118.35167,Private room in house,2,1 private bath,1.0,1.0
10007,33.96176,-118.4514,Entire house,16,5 baths,6.0,12.0
10014,34.0168,-118.42366000000001,Entire apartment,2,1 bath,1.0,1.0
10015,34.05625,-118.36027,Entire apartment,4,1 bath,1.0,2.0
10016,34.08641,-118.3088,Private room in apartment,3,1 private bath,1.0,2.0
10017,34.09104,-118.32762,Entire bungalow,2,1 bath,1.0,1.0
10018,34.175670000000004,-118.39367,Private room in house,2,1 private bath,1.0,1.0
10022,34.042229999999996,-118.23653999999999,Entire loft,4,1 bath,1.0,1.0
10024,34.141,-118.20886999999999,Entire house,5,1 bath,2.0,4.0
10026,34.0787,-118.2772,Entire apartment,6,1.5 baths,3.0,3.0
10034,34.0716,-118.2558,Private room in house,2,1 shared bath,1.0,1.0
10044,34.05585,-118.26951000000001,Entire apartment,6,2 baths,2.0,2.0
10046,34.06628,-118.34863,Private room in apartment,4,1 private bath,1.0,2.0
10050,33.99475,-118.45741000000001,Entire house,5,1 bath,2.0,2.0
10054,34.10011,-118.37357,Entire house,9,3.5 baths,4.0,4.0
10060,34.10585,-118.26356000000001,Private room in apartment,1,1 shared bath,1.0,1.0
10061,34.14476,-118.37765,Entire house,4,1 bath,2.0,2.0
10065,33.987140000000004,-118.46468,Entire guesthouse,2,1 bath,1.0,1.0
10074,34.10559,-118.33618999999999,Entire condominium,4,2 baths,2.0,2.0
10078,34.01959,-118.40496,Private room in apartment,1,1 shared bath,1.0,1.0
10086,34.020309999999995,-118.29947,Private room in house,2,1 shared bath,1.0,1.0
10090,34.04489,-118.25865,Entire serviced apartment,6,1.5 baths,2.0,3.0
10091,34.11439,-118.36891999999999,Entire condominium,2,1 bath,1.0,0.0
10094,34.053740000000005,-118.264,Entire apartment,4,1.5 baths,1.0,3.0
10097,34.22323,-118.5688,Private room in house,1,1 private bath,1.0,1.0
10099,34.0253,-118.41933,Entire guesthouse,2,1 bath,1.0,2.0
10100,34.06419,-118.43269,Entire apartment,4,1 bath,1.0,1.0
10101,34.1021,-118.35008,Private room in apartment,2,1.5 shared baths,1.0,1.0
10107,34.14825,-118.37791999999999,Entire house,2,1 bath,1.0,1.0
10109,34.09985,-118.38181000000002,Entire villa,15,6.5 baths,6.0,6.0
10110,34.17365,-118.35981000000001,Entire house,9,2 baths,3.0,5.0
10112,34.17217,-118.37546,Entire apartment,5,1 bath,1.0,1.0
10115,34.0385,-118.45407,Private room in townhouse,2,1.5 shared baths,1.0,1.0
10117,34.10042,-118.38213,Entire house,10,4.5 baths,4.0,4.0
10118,34.11153,-118.31216,Entire house,4,2 baths,2.0,2.0
10119,34.0834,-118.25963,Entire guest suite,2,1 bath,1.0,2.0
10135,34.09957,-118.36543,Entire apartment,2,1 bath,1.0,0.0
10138,34.157090000000004,-118.41731999999999,Private room in apartment,2,1 shared bath,1.0,1.0
10141,34.09296,-118.33261,Entire apartment,3,1 bath,1.0,2.0
10143,33.98986,-118.4745,Entire apartment,2,1 bath,1.0,1.0
10146,33.70876,-118.28655,Entire apartment,3,1 bath,1.0,1.0
10147,34.08355,-118.37246999999999,Entire apartment,4,2 baths,2.0,2.0
10148,34.11655,-118.2298,Entire house,6,3 baths,4.0,5.0
10149,33.98724,-118.45185,Entire house,6,2 baths,3.0,4.0
10150,34.05115,-118.26523,Entire serviced apartment,6,2 baths,2.0,5.0
10151,33.98979,-118.46656999999999,Entire house,10,1 bath,4.0,5.0
10161,34.03174,-118.37857,Private room in apartment,2,1.5 shared baths,1.0,1.0
10163,34.06174,-118.24663999999999,Private room in apartment,2,1 private bath,1.0,1.0
10164,34.07608,-118.37494,Shared room in house,1,2 shared baths,1.0,6.0
10169,34.05455,-118.34577,Private room in house,2,1 shared bath,1.0,2.0
10172,34.10915,-118.32093,Private room in apartment,1,1.5 shared baths,1.0,1.0
10177,34.04802,-118.32253999999999,Private room in condominium,2,1 shared bath,1.0,1.0
10178,34.19278,-118.45567,Private room in apartment,2,1 private bath,1.0,1.0
10180,34.0506,-118.26161,Entire apartment,7,2 baths,2.0,4.0
10181,34.14018,-118.38936000000001,Entire guest suite,1,1 bath,1.0,1.0
10183,34.04317,-118.45985,Private room in apartment,2,1 private bath,1.0,2.0
10189,34.19636,-118.63918000000001,Entire guesthouse,4,1 bath,1.0,1.0
10202,34.29673,-118.51403,Entire house,15,4 baths,5.0,9.0
10205,34.10807,-118.23001000000001,Entire bungalow,4,2 baths,1.0,2.0
10206,34.05687,-118.30336000000001,Private room in house,2,2 baths,1.0,1.0
10207,34.05001,-118.21091000000001,Entire house,3,1 bath,1.0,2.0
10208,34.05687,-118.30336000000001,Private room in house,2,1.5 shared baths,1.0,1.0
10211,34.00558,-118.44833999999999,Entire house,5,1.5 baths,2.0,2.0
10213,34.226929999999996,-118.50518999999998,Entire house,8,2.5 baths,3.0,5.0
10215,34.00455,-118.42133999999999,Entire house,6,2 baths,3.0,3.0
10220,34.05687,-118.30336000000001,Private room in house,1,1.5 baths,1.0,1.0
10221,33.98896,-118.4106,Entire bungalow,5,1.5 baths,2.0,2.0
10227,33.99093,-118.4301,Entire house,4,2 baths,2.0,2.0
10232,34.04221,-118.56042,Private room in house,2,1 private bath,1.0,1.0
10233,34.080020000000005,-118.25705,Private room in house,3,1 private bath,1.0,1.0
10241,33.991009999999996,-118.47543,Entire apartment,2,1 bath,1.0,1.0
10243,33.73381,-118.29842,Entire condominium,4,1 bath,1.0,1.0
10244,34.07792,-118.26892,Entire house,8,2 baths,3.0,3.0
10252,34.09596,-118.29883000000001,Private room in apartment,2,1 shared bath,1.0,1.0
10254,34.09602,-118.26851,Entire house,10,4.5 baths,4.0,5.0
10256,34.10952,-118.29218,Entire apartment,2,1 bath,1.0,1.0
10258,33.99884,-118.43772,Private room in apartment,2,1.5 baths,1.0,1.0
10261,34.04504,-118.38192,Entire house,4,1 bath,1.0,2.0
10263,34.05451,-118.26284,Entire apartment,5,1 bath,1.0,2.0
10266,34.08245,-118.36318,Entire apartment,3,1 bath,1.0,1.0
10272,34.103429999999996,-118.36953999999999,Entire guesthouse,2,1 bath,1.0,1.0
10279,34.021570000000004,-118.43942,Entire apartment,4,1 bath,1.0,1.0
10280,33.991040000000005,-118.45885,Entire apartment,3,1 bath,1.0,0.0
10281,33.99866,-118.44098000000001,Entire guesthouse,2,1 bath,1.0,1.0
10283,34.09803,-118.26007,Entire apartment,2,1 bath,1.0,1.0
10299,34.05166,-118.26391000000001,Private room in apartment,2,1 private bath,1.0,1.0
10307,34.10022,-118.2972,Entire guesthouse,2,1 bath,1.0,1.0
10311,34.08064,-118.37494,Entire apartment,2,1 bath,1.0,1.0
10312,34.039840000000005,-118.21258999999999,Private room in house,2,1 shared bath,1.0,1.0
10321,34.05222,-118.25801000000001,Entire condominium,8,2 baths,2.0,4.0
10322,34.06008,-118.29046000000001,Entire apartment,4,2 baths,2.0,2.0
10334,34.00437,-118.45948999999999,Entire house,8,2 baths,4.0,4.0
10337,34.19042,-118.39006,Private room in apartment,2,1 shared bath,1.0,1.0
