,latitude,longitude,property_type,accommodates,bathrooms_text,bedrooms,beds
1,34.09768,-118.34602,Private room in apartment,1,1.5 baths,1.0,1.0
6,33.9875,-118.432,Entire house,4,1 bath,2.0,2.0
7,34.095209999999994,-118.34801000000002,Private room in apartment,1,1.5 baths,1.0,2.0
9,34.115429999999996,-118.2609,Entire guesthouse,4,1 bath,1.0,2.0
11,33.99638,-118.47733999999998,Private room in apartment,1,1 shared bath,1.0,1.0
13,34.05437,-118.35641000000001,Private room in apartment,2,2 baths,1.0,2.0
15,34.11479,-118.32288999999999,Entire guest suite,2,1 bath,1.0,1.0
17,34.058640000000004,-118.34352,Entire apartment,5,1 bath,2.0,3.0
19,34.11959,-118.32056000000001,Entire apartment,2,1 bath,1.0,1.0
20,33.99025,-118.45374,Entire house,8,2 baths,3.0,4.0
23,34.04244,-118.3522,Entire bungalow,2,1 bath,1.0,1.0
25,33.99179,-118.45056000000001,Entire house,7,2 baths,3.0,0.0
26,34.08517,-118.28473999999999,Private room in house,2,1 private bath,1.0,1.0
27,33.98012,-118.4649,Entire guesthouse,2,1 bath,1.0,1.0
28,34.112970000000004,-118.32337,Entire guesthouse,2,1 bath,1.0,1.0
29,34.11821,-118.32178,Entire guesthouse,2,1 bath,1.0,1.0
32,34.00416,-118.46602,Entire house,2,1 bath,1.0,1.0
33,34.11861,-118.32019,Entire guest suite,2,1 bath,1.0,1.0
34,33.98798,-118.47301000000002,Entire bungalow,2,1 bath,1.0,1.0
36,34.1078,-118.21864,Entire house,5,1 bath,2.0,2.0
37,34.04123,-118.45496999999999,Entire townhouse,6,2.5 baths,3.0,3.0
38,34.047270000000005,-118.44058000000001,Entire apartment,1,1 bath,1.0,1.0
39,34.166779999999996,-118.64374,Private room in house,2,1 shared bath,1.0,0.0
40,34.11378,-118.32522,Entire guest suite,2,1 bath,2.0,2.0
42,34.10313,-118.28628,Private room in apartment,3,1.5 shared baths,1.0,2.0
44,34.00095,-118.43381000000001,Private room in house,2,2 shared baths,1.0,1.0
48,34.11207,-118.32319,Entire guest suite,2,1 bath,1.0,1.0
49,34.05827,-118.34061000000001,Private room in house,2,1 shared bath,1.0,1.0
50,34.04034,-118.38207,Private room in apartment,2,1.5 shared baths,1.0,2.0
52,34.09179,-118.33111000000001,Entire house,2,1 bath,1.0,2.0
53,34.19684,-118.45929,Private room in house,2,1.5 shared baths,1.0,1.0
55,34.10642,-118.22391,Private room in house,3,1 private bath,1.0,0.0
56,34.09621,-118.27705,Entire bungalow,4,1 bath,1.0,3.0
58,34.08556,-118.28338000000001,Entire guesthouse,2,1 bath,1.0,1.0
63,34.09596,-118.34985,Entire guesthouse,2,1 bath,1.0,1.0
64,34.120259999999995,-118.26773,Entire bungalow,2,1 bath,1.0,1.0
66,34.11893,-118.32189,Entire apartment,6,1 bath,1.0,2.0
67,34.08976,-118.26953999999999,Private room in house,1,1 private bath,1.0,1.0
70,34.06132,-118.3703,Entire apartment,2,1 bath,1.0,1.0
74,33.99201,-118.4699,Entire condominium,6,2 baths,2.0,2.0
76,34.11547,-118.32416,Private room in house,2,1 bath,1.0,1.0
77,34.116609999999994,-118.28776,Entire guesthouse,2,1 bath,1.0,1.0
81,34.03853,-118.33628,Private room in house,4,1 private bath,1.0,2.0
82,34.03045,-118.40618,Private room in apartment,1,1 shared bath,1.0,1.0
83,34.04079,-118.30837,Private room in house,2,1.5 shared baths,1.0,1.0
86,34.05832,-118.34105,Private room in house,2,1 shared bath,1.0,1.0
88,34.08333,-118.27951000000002,Entire house,2,1 bath,1.0,1.0
90,34.05966,-118.35401999999999,Entire apartment,1,1 bath,1.0,3.0
91,34.10805,-118.34111000000001,Entire townhouse,4,1 bath,1.0,1.0
94,34.24135,-118.46301000000001,Private room in townhouse,1,1.5 baths,1.0,1.0
95,34.16745,-118.64428000000001,Entire villa,8,2 baths,4.0,5.0
96,34.054559999999995,-118.36348999999998,Private room in house,2,1 private bath,1.0,1.0
97,34.255179999999996,-118.28128000000001,Entire bungalow,2,1 bath,2.0,2.0
98,34.08365,-118.27848,Entire house,2,1 bath,1.0,1.0
99,33.96568,-118.41771999999999,Entire house,2,1 bath,1.0,1.0
100,34.03954,-118.34113,Entire house,2,1 bath,1.0,1.0
101,33.96781,-118.41985,Entire house,6,2 baths,3.0,3.0
103,34.0695,-118.25361000000001,Entire apartment,2,2 baths,1.0,0.0
104,34.15668,-118.60318999999998,Private room in house,1,1 shared bath,1.0,1.0
107,34.13258,-118.41202,Entire house,10,6.5 baths,6.0,6.0
108,34.10816,-118.33433000000001,Private room in apartment,2,1.5 baths,1.0,1.0
110,34.09192,-118.21793000000001,Entire house,4,1.5 baths,2.0,2.0
112,34.08767,-118.26423999999999,Entire guesthouse,4,1 bath,1.0,1.0
114,34.17358,-118.38673,Private room in house,2,1.5 shared baths,1.0,2.0
115,34.04891,-118.37121,Private room in house,2,1 shared bath,1.0,1.0
122,34.02665,-118.51691000000001,Entire apartment,3,1 bath,1.0,1.0
123,34.08008,-118.25653999999999,Entire apartment,3,1 bath,1.0,1.0
124,34.10217,-118.3759,Entire villa,15,4 baths,5.0,5.0
127,34.08916,-118.2489,Entire apartment,7,2 baths,2.0,3.0
128,34.034929999999996,-118.4629,Entire guesthouse,4,1 bath,1.0,2.0
129,34.120490000000004,-118.26441000000001,Entire house,3,1 bath,1.0,2.0
130,34.09942,-118.2764,Private room in house,2,1 bath,1.0,1.0
131,34.182559999999995,-118.39972,Entire house,5,1 bath,2.0,3.0
132,34.17961,-118.40038,Entire guesthouse,4,1 bath,1.0,2.0
133,34.0779,-118.35738,Entire apartment,8,1 bath,2.0,5.0
135,33.98498,-118.46717,Entire house,4,1 bath,2.0,2.0
140,34.06824,-118.346,Entire apartment,4,2 baths,2.0,2.0
141,34.11404,-118.32423,Private room in house,2,1 bath,1.0,1.0
143,34.08913,-118.24896000000001,Entire apartment,4,1 bath,1.0,2.0
145,34.11119,-118.3193,Entire apartment,4,1 bath,1.0,2.0
148,34.10071,-118.24998000000001,Entire apartment,5,1 bath,1.0,3.0
149,33.99153,-118.47641000000002,Entire apartment,2,1 bath,2.0,2.0
150,33.97703,-118.46318000000001,Entire apartment,1,1 bath,1.0,1.0
151,33.96053,-118.42206000000002,Private room in house,1,1 shared bath,1.0,1.0
152,33.96047,-118.42193,Private room in house,1,1 shared bath,1.0,0.0
154,34.0718,-118.25216999999999,Private room in townhouse,2,1.5 baths,1.0,1.0
155,34.111990000000006,-118.25198,Entire guesthouse,4,1 bath,1.0,1.0
156,34.02559,-118.40626,Entire apartment,2,1 bath,1.0,1.0
157,34.08201,-118.25491000000001,Entire apartment,2,1 bath,1.0,1.0
158,34.08618,-118.27651000000002,Entire condominium,3,1 bath,1.0,2.0
159,34.08716,-118.34408,Entire bungalow,2,1 bath,1.0,1.0
160,34.033559999999994,-118.46094,Entire condominium,2,1 bath,1.0,1.0
161,34.07803,-118.3559,Entire apartment,6,1 bath,2.0,0.0
162,34.10417,-118.34541000000002,Entire condominium,1,1 bath,1.0,2.0
163,34.05455,-118.39301999999999,Entire townhouse,8,3 baths,3.0,5.0
165,34.12377,-118.35512,Private room in house,2,1 private bath,1.0,1.0
166,34.223490000000005,-118.39634,Entire guesthouse,4,1 bath,2.0,2.0
167,34.09339,-118.27741999999999,Entire apartment,6,1 bath,2.0,3.0
168,34.095929999999996,-118.27718999999999,Entire apartment,4,1 bath,1.0,2.0
170,34.096,-118.34867,Entire apartment,2,1 bath,1.0,1.0
172,33.975559999999994,-118.46439,Entire bungalow,2,1 bath,1.0,1.0
173,34.076609999999995,-118.35425,Entire apartment,2,1 bath,1.0,2.0
174,34.028529999999996,-118.5157,Entire house,5,1 bath,1.0,3.0
176,34.06455,-118.29592,Private room in apartment,3,1.5 baths,1.0,2.0
177,33.99302,-118.4606,Entire house,10,2.5 baths,5.0,9.0
178,33.74232,-118.30168,Private room in house,4,2 shared baths,1.0,1.0
181,34.0513,-118.42043000000001,Private room in house,2,1 bath,1.0,1.0
182,34.04708,-118.43596000000001,Entire apartment,4,1 bath,1.0,2.0
183,34.103159999999995,-118.29973000000001,Entire apartment,2,1 bath,1.0,1.0
185,34.00093,-118.43386000000001,Private room in house,2,2 shared baths,1.0,1.0
187,33.99475,-118.45821000000001,Entire bungalow,2,1 bath,1.0,0.0
188,33.99568,-118.45674,Entire house,5,2.5 baths,2.0,5.0
192,33.9872,-118.42886999999999,Entire guesthouse,2,1 bath,1.0,1.0
194,34.080659999999995,-118.25268,Entire apartment,1,1 bath,1.0,1.0
195,34.11633,-118.27342,Private room in house,2,1 shared bath,1.0,1.0
197,34.004059999999996,-118.45593999999998,Entire guesthouse,2,1 bath,1.0,1.0
198,34.14277,-118.40808999999999,Entire guesthouse,3,1 bath,1.0,2.0
199,34.0884,-118.42726,Entire house,4,2.5 baths,2.0,0.0
200,34.103359999999995,-118.32366,Entire apartment,4,1 bath,1.0,2.0
201,34.103359999999995,-118.32366,Entire apartment,6,1 bath,2.0,3.0
205,34.11602,-118.32511000000001,Entire house,4,1.5 baths,2.0,2.0
206,34.071220000000004,-118.37895,Entire apartment,5,2 baths,2.0,5.0
207,34.10515,-118.19124,Entire apartment,2,1 bath,1.0,2.0
211,33.9967,-118.46967,Entire house,8,1.5 baths,3.0,4.0
214,34.11013,-118.32799999999999,Private room in apartment,1,2 baths,1.0,1.0
215,33.99811,-118.46439,Entire house,2,1 bath,1.0,1.0
216,34.04651,-118.54003,Entire house,3,1 bath,2.0,3.0
220,33.99685,-118.45584,Entire guesthouse,3,1 bath,1.0,2.0
222,34.021809999999995,-118.36658,Entire house,6,2 baths,2.0,2.0
223,33.97871,-118.46321999999999,Entire bungalow,3,1 bath,1.0,2.0
224,33.99242,-118.47856999999999,Entire apartment,2,1 bath,1.0,1.0
226,34.097970000000004,-118.31616000000001,Entire loft,3,1 bath,1.0,1.0
230,34.1121,-118.2587,Entire bungalow,5,1.5 baths,2.0,3.0
234,34.19076,-118.48172,Private room in house,2,1 shared bath,1.0,1.0
235,34.04708,-118.31198,Shared room in house,4,8 shared baths,1.0,4.0
238,34.08663,-118.35602,Entire guesthouse,2,1 bath,1.0,1.0
240,33.9919,-118.47502,Entire apartment,7,2 baths,2.0,7.0
241,34.00011,-118.44708999999999,Entire bungalow,5,1 bath,2.0,3.0
243,34.04759,-118.31253000000001,Private room in house,1,8 baths,1.0,1.0
244,34.0463,-118.31246999999999,Shared room in house,4,8 shared baths,1.0,4.0
245,34.046459999999996,-118.31221000000001,Shared room in house,2,8 shared baths,1.0,2.0
246,34.04616,-118.31336999999999,Private room in house,1,8 baths,1.0,1.0
248,34.04572,-118.31397,Shared room in house,4,8.5 shared baths,1.0,0.0
249,34.00029,-118.46221000000001,Private room in house,2,1 shared bath,1.0,1.0
250,34.037409999999994,-118.33337,Entire guesthouse,3,1 bath,1.0,2.0
251,33.98742,-118.47158999999999,Private room in apartment,2,1 private bath,1.0,2.0
252,34.09325,-118.27591000000001,Entire guesthouse,2,1 bath,1.0,1.0
253,34.04762,-118.3134,Shared room in house,4,8 shared baths,1.0,4.0
254,34.04761,-118.31347,Shared room in house,4,8 shared baths,1.0,4.0
255,34.10168,-118.25945,Private room in house,3,1 private bath,1.0,1.0
256,34.00918,-118.33243999999999,Entire house,4,1.5 baths,2.0,2.0
257,34.1075,-118.26115,Entire apartment,2,1 bath,1.0,1.0
258,33.92508,-118.2704,Entire house,4,1 bath,2.0,2.0
259,34.257290000000005,-118.54731000000001,Private room in house,3,1 private bath,1.0,1.0
263,34.08885,-118.28573999999999,Entire apartment,4,1 bath,2.0,3.0
265,34.057359999999996,-118.36485,Private room in apartment,2,1 shared bath,1.0,1.0
266,34.100390000000004,-118.35361999999999,Private room in house,2,1 private bath,1.0,1.0
268,34.0652,-118.36176999999999,Entire house,6,2 baths,2.0,2.0
271,34.12175,-118.26315,Entire house,3,1 bath,2.0,4.0
273,34.07781,-118.35713999999999,Entire apartment,6,1 bath,2.0,3.0
274,34.02782,-118.51888999999998,Entire apartment,2,1 bath,1.0,1.0
275,34.04643,-118.35883999999999,Entire apartment,2,1 bath,1.0,1.0
276,34.09432,-118.28241000000001,Entire loft,4,2 baths,2.0,2.0
279,34.06561,-118.34183999999999,Private room in apartment,2,2 shared baths,1.0,1.0
282,34.08115,-118.25549,Entire apartment,3,1 bath,1.0,1.0
286,34.0899,-118.24989,Entire apartment,4,1.5 baths,2.0,1.0
287,34.05489,-118.36397,Private room in house,2,1 shared bath,1.0,1.0
289,34.07443,-118.25208,Entire guest suite,2,1 bath,1.0,1.0
291,34.09505,-118.35053,Entire apartment,2,1 bath,1.0,1.0
293,33.99138,-118.47776999999999,Entire apartment,4,2 baths,2.0,1.0
295,34.05576,-118.3198,Private room in house,1,1 shared bath,1.0,1.0
296,34.09437,-118.27429,Entire apartment,3,1.5 baths,2.0,2.0
297,34.10816,-118.28851,Entire apartment,3,2 baths,2.0,2.0
299,34.06673,-118.34946000000001,Entire apartment,3,2 baths,2.0,3.0
300,34.08405,-118.3612,Entire house,16,3 baths,4.0,8.0
304,34.09543,-118.33486,Entire house,2,1 bath,1.0,0.0
306,34.131029999999996,-118.23508000000001,Entire house,4,1 bath,1.0,2.0
307,34.04595,-118.31253000000001,Shared room in house,4,8 shared baths,1.0,4.0
309,34.08692,-118.35445,Entire guesthouse,1,1 bath,1.0,1.0
310,34.149570000000004,-118.40167,Private room in house,1,1 bath,1.0,1.0
311,34.17094,-118.65473999999999,Entire apartment,2,1 bath,1.0,1.0
312,34.045970000000004,-118.31379,Shared room in house,4,8 shared baths,1.0,4.0
313,34.04564,-118.31409,Shared room in house,4,8 shared baths,1.0,4.0
316,34.12403,-118.35975,Entire house,6,2 baths,2.0,2.0
318,34.09231,-118.27855,Private room in apartment,1,1 bath,1.0,1.0
322,34.08688,-118.2704,Entire apartment,2,1 bath,1.0,1.0
326,34.10315,-118.26081,Private room in house,2,1 bath,1.0,1.0
327,34.08265,-118.27676000000001,Entire apartment,2,1 bath,1.0,1.0
328,34.103359999999995,-118.32366,Entire apartment,4,1 bath,1.0,2.0
340,34.09605,-118.3405,Private room in apartment,1,1.5 baths,1.0,1.0
341,34.103359999999995,-118.32366,Entire apartment,6,1 bath,2.0,5.0
344,34.108909999999995,-118.33457,Private room in apartment,2,2 baths,1.0,2.0
345,34.15116,-118.36103999999999,Private room in apartment,1,1 private bath,1.0,1.0
348,34.160340000000005,-118.4578,Entire house,2,1 bath,1.0,2.0
349,33.989670000000004,-118.42393999999999,Private room in house,2,1 private bath,1.0,1.0
350,34.0732,-118.25883,Entire bungalow,9,1.5 baths,3.0,6.0
352,34.11449,-118.31943000000001,Private room in house,2,1 shared bath,1.0,1.0
353,33.9904,-118.45683999999999,Entire house,6,2 baths,3.0,3.0
354,33.988609999999994,-118.46686000000001,Entire apartment,6,1 bath,2.0,3.0
356,34.064609999999995,-118.4935,Entire house,8,2 baths,4.0,6.0
357,34.00887,-118.45236000000001,Entire guesthouse,2,1 bath,1.0,1.0
359,33.988170000000004,-118.4634,Entire house,7,2 baths,3.0,3.0
361,33.99848,-118.46571000000002,Private room in townhouse,2,1.5 baths,1.0,1.0
362,34.21026,-118.61176999999999,Private room in house,4,1.5 baths,1.0,1.0
366,34.20025,-118.50018999999999,Entire apartment,3,1 bath,1.0,1.0
368,33.98812,-118.47375,Entire apartment,2,1 bath,1.0,1.0
369,34.0911,-118.27886000000001,Entire apartment,3,1 bath,1.0,1.0
374,34.05958,-118.29356000000001,Private room in apartment,3,2 shared baths,1.0,2.0
375,34.05934,-118.29229,Private room in apartment,2,2 baths,1.0,1.0
376,33.99838,-118.46607,Private room in townhouse,2,1 private bath,1.0,1.0
377,34.05345,-118.24271999999999,Entire loft,2,1 bath,1.0,1.0
378,33.99322,-118.46361999999999,Entire guesthouse,2,1 bath,1.0,1.0
382,34.11633,-118.27342,Private room in house,2,1.5 baths,1.0,1.0
384,34.061859999999996,-118.3503,Private room in apartment,2,1 private bath,1.0,1.0
387,34.08547,-118.27136999999999,Entire apartment,2,1 bath,1.0,0.0
390,34.11557,-118.18716,Entire house,5,1 bath,2.0,4.0
391,34.09936,-118.35198999999999,Private room in apartment,2,1 bath,1.0,1.0
394,34.079370000000004,-118.26531000000001,Entire guest suite,1,1 bath,1.0,1.0
396,33.9974,-118.41946000000002,Entire apartment,2,1 bath,1.0,1.0
399,34.05408,-118.54902,Entire house,7,3 baths,3.0,4.0
401,34.03395,-118.42601,Entire house,6,2.5 baths,2.0,3.0
402,33.98905,-118.43808999999999,Entire house,6,1.5 baths,3.0,3.0
404,33.98077,-118.46837,Entire condominium,3,1 bath,1.0,1.0
405,33.97733,-118.46146,Entire apartment,7,2.5 baths,3.0,4.0
406,34.00435,-118.46625,Entire house,2,1 bath,1.0,1.0
408,34.11411,-118.31374,Entire villa,6,2 baths,3.0,5.0
409,33.992,-118.46698,Entire house,2,2 baths,2.0,2.0
411,34.122479999999996,-118.37397,Entire house,10,3 baths,4.0,5.0
416,34.094229999999996,-118.27604,Entire apartment,2,1 bath,1.0,1.0
419,34.008790000000005,-118.43516000000001,Entire guesthouse,1,1 bath,1.0,1.0
420,33.97985,-118.46665,Entire townhouse,6,3 baths,3.0,3.0
426,34.09255,-118.2504,Private room in house,2,1 private bath,1.0,1.0
427,34.09595,-118.34531000000001,Entire house,5,2 baths,2.0,3.0
428,34.09728,-118.34454,Entire house,5,2 baths,2.0,3.0
430,34.07366,-118.22536000000001,Entire loft,2,1 bath,1.0,1.0
433,34.07561,-118.20635,Entire apartment,4,1.5 baths,2.0,3.0
434,34.0681,-118.25376000000001,Private room in house,2,1 bath,1.0,1.0
436,33.988640000000004,-118.42393,Entire apartment,2,1 bath,1.0,1.0
438,34.07139,-118.25273,Entire house,2,1 bath,1.0,1.0
439,34.10535,-118.29273,Entire apartment,2,1 bath,1.0,1.0
440,33.993559999999995,-118.45579,Entire bungalow,2,1 bath,1.0,1.0
441,34.081559999999996,-118.33708999999999,Entire house,6,3 baths,3.0,5.0
442,34.1303,-118.33916,Entire apartment,2,1 bath,1.0,1.0
443,34.11156,-118.3832,Entire house,6,2.5 baths,2.0,2.0
444,34.116479999999996,-118.3228,Entire guest suite,3,1 bath,1.0,2.0
445,34.104690000000005,-118.26181000000001,Entire house,6,2.5 baths,3.0,3.0
447,34.10825,-118.31506,Entire house,6,2.5 baths,3.0,3.0
448,34.09706,-118.33304,Entire house,4,1 bath,2.0,2.0
453,34.17188,-118.36908000000001,Entire house,4,2 baths,2.0,2.0
456,34.183009999999996,-118.59688999999999,Entire house,2,1 bath,1.0,1.0
458,34.077259999999995,-118.20695,Entire apartment,4,1.5 baths,2.0,3.0
460,33.998490000000004,-118.43987,Entire townhouse,7,2.5 baths,3.0,3.0
462,34.02953,-118.41,Private room in apartment,2,1 shared bath,1.0,2.0
466,34.07251,-118.25956000000001,Entire apartment,1,1 bath,1.0,0.0
468,33.97887,-118.46477,Entire condominium,6,2 baths,2.0,4.0
469,34.05723,-118.3761,Entire apartment,2,1 bath,1.0,1.0
470,34.08317,-118.25556,Entire house,2,1 bath,1.0,1.0
473,34.16016,-118.61556000000002,Private room in house,2,1 private bath,1.0,1.0
479,33.99822,-118.47738000000001,Entire apartment,2,1 bath,1.0,1.0
483,34.16089,-118.46593999999999,Private room in house,3,1 private bath,1.0,2.0
484,34.16052,-118.39995,Entire house,6,2 baths,3.0,5.0
490,34.07569,-118.32661,Shared room in house,2,1 shared bath,1.0,3.0
491,34.0758,-118.25417,Private room in apartment,2,1 shared bath,1.0,1.0
493,34.20825,-118.56617,Private room in house,4,1 private bath,1.0,1.0
497,33.99287,-118.47786,Entire apartment,10,1 bath,3.0,5.0
498,33.98435,-118.42873,Entire house,6,1 bath,2.0,3.0
499,34.17607,-118.37483,Entire bungalow,4,1 bath,2.0,2.0
501,33.993179999999995,-118.47771999999999,Entire apartment,6,2 baths,1.0,4.0
502,33.99255,-118.47822,Entire apartment,9,2 baths,2.0,5.0
513,34.06819,-118.34701000000001,Entire apartment,4,1 bath,2.0,2.0
516,34.07636,-118.27741,Entire house,1,1 bath,1.0,1.0
517,34.21656,-118.4417,Private room in house,1,1 private bath,1.0,1.0
519,34.070859999999996,-118.26385,Entire house,4,1 bath,2.0,3.0
520,33.97647,-118.46212,Entire apartment,7,2 baths,3.0,4.0
521,33.99364,-118.47743,Entire apartment,6,1 bath,2.0,3.0
523,34.10849,-118.33989,Entire loft,3,1 bath,1.0,1.0
525,34.034659999999995,-118.37166,Entire apartment,3,1 bath,1.0,2.0
526,34.15319,-118.40073999999998,Entire apartment,6,2 baths,2.0,3.0
527,34.093959999999996,-118.33658999999999,Entire apartment,3,1 bath,1.0,1.0
528,33.95513,-118.43621,Entire apartment,3,1.5 baths,2.0,2.0
530,33.99092,-118.47377,Private room in apartment,3,2 shared baths,1.0,2.0
532,34.08116,-118.32055,Entire apartment,3,1 bath,1.0,1.0
533,34.001709999999996,-118.46581,Entire guesthouse,4,1 bath,1.0,2.0
534,33.97648,-118.46283999999999,Entire apartment,7,3.5 baths,4.0,6.0
535,33.97594,-118.46258999999999,Entire apartment,2,1 bath,1.0,2.0
536,33.99711,-118.46851000000001,Private room in house,3,1 private bath,1.0,2.0
537,34.04974,-118.46016999999999,Entire apartment,3,1 bath,1.0,1.0
540,34.0945,-118.32621,Entire guest suite,2,1 bath,1.0,2.0
543,33.993359999999996,-118.45688999999999,Entire house,4,2 baths,2.0,1.0
544,34.198479999999996,-118.5013,Private room in house,5,1.5 shared baths,2.0,3.0
546,34.05401,-118.39393000000001,Private room in apartment,2,1 bath,1.0,2.0
547,34.170559999999995,-118.36233999999999,Entire guesthouse,5,1 bath,2.0,3.0
548,34.10604,-118.34046000000001,Entire guest suite,2,1 bath,1.0,1.0
550,33.97573,-118.46099,Entire apartment,7,3 baths,4.0,6.0
553,34.09265,-118.43878000000001,Entire house,2,1 bath,2.0,1.0
554,34.10615,-118.27627,Entire apartment,4,1.5 baths,2.0,2.0
555,33.98166,-118.4698,Entire house,3,1 bath,1.0,2.0
556,34.17696,-118.58103999999999,Entire house,6,2 baths,3.0,3.0
557,33.9704,-118.42817,Entire loft,6,2 baths,2.0,2.0
558,33.97733,-118.46132,Entire apartment,7,3.5 baths,4.0,6.0
559,34.108129999999996,-118.34098,Entire house,4,2 baths,2.0,2.0
560,33.98516,-118.4487,Entire apartment,3,1 bath,1.0,0.0
564,33.98818,-118.44991999999999,Entire guesthouse,4,1 bath,1.0,1.0
565,33.993390000000005,-118.47531000000001,Entire apartment,4,1 bath,2.0,3.0
568,34.04567,-118.31368,Shared room in house,16,8 shared baths,1.0,2.0
570,34.0016,-118.44851000000001,Entire apartment,2,1 bath,1.0,1.0
571,33.975840000000005,-118.46309,Entire apartment,7,2.5 baths,3.0,4.0
574,34.09577,-118.35956000000002,Entire guesthouse,2,1 bath,1.0,1.0
575,34.11054,-118.19921000000001,Private room in house,2,2 shared baths,4.0,4.0
576,34.1044,-118.31421,Entire house,8,2.5 baths,4.0,5.0
577,33.97456,-118.45983000000001,Entire apartment,4,2 baths,2.0,2.0
578,34.109359999999995,-118.37341,Entire house,5,2 baths,2.0,2.0
579,34.146409999999996,-118.59926000000002,Private room in house,2,2 shared baths,1.0,1.0
580,34.000040000000006,-118.47368,Entire villa,4,2 baths,2.0,2.0
581,34.15838,-118.39697,Entire guest suite,2,1 bath,1.0,1.0
586,34.10604,-118.34716999999999,Entire apartment,3,1.5 baths,1.0,1.0
588,33.96217,-118.4542,Entire apartment,4,1 bath,1.0,1.0
591,34.086240000000004,-118.29178,Entire apartment,1,1 bath,1.0,1.0
592,34.10051,-118.37997,Private room in house,2,1 private bath,1.0,1.0
594,34.093340000000005,-118.3321,Private room in apartment,2,1 shared bath,1.0,2.0
597,34.14912,-118.45516,Entire guesthouse,2,1 bath,1.0,1.0
598,34.07158,-118.36368,Entire apartment,2,1 bath,1.0,1.0
600,34.139340000000004,-118.19617,Entire guest suite,2,1 bath,1.0,1.0
601,34.10814,-118.33978,Entire townhouse,3,1 bath,1.0,1.0
604,34.09298,-118.27866999999999,Entire apartment,3,1 bath,1.0,2.0
606,34.07591,-118.32534,Private room in house,2,1 shared bath,1.0,1.0
607,33.998979999999996,-118.42513000000001,Entire guest suite,2,1 bath,1.0,1.0
610,34.15852,-118.41376000000001,Private room in townhouse,2,1 private bath,1.0,1.0
612,34.0819,-118.20253000000001,Entire villa,8,2 baths,3.0,3.0
619,34.13046,-118.46826999999999,Entire villa,4,2 baths,2.0,2.0
620,33.95293,-118.44706000000001,Entire house,6,2 baths,3.0,4.0
621,34.08287,-118.27193999999999,Entire guest suite,2,1 bath,1.0,1.0
623,34.09386,-118.27895,Entire villa,4,2 baths,2.0,3.0
628,34.023559999999996,-118.44038,Private room in apartment,1,1 private bath,1.0,1.0
629,34.05871,-118.35725,Private room in house,2,1 private bath,1.0,1.0
630,34.04827,-118.23603,Private room in apartment,1,11 shared baths,1.0,1.0
632,34.070679999999996,-118.30366000000001,Private room in house,3,1 private bath,1.0,2.0
635,34.07185,-118.30156000000001,Private room in house,2,1 shared bath,1.0,1.0
636,34.07117,-118.30188999999999,Private room in house,2,1 private bath,1.0,1.0
637,34.07062,-118.30136,Private room in house,2,1 private bath,1.0,1.0
640,34.14651,-118.399,Entire guesthouse,2,1 bath,1.0,1.0
647,34.17022,-118.62012,Entire house,4,2 baths,2.0,0.0
650,34.032340000000005,-118.45664,Entire loft,2,1.5 baths,1.0,1.0
654,34.17817,-118.37175,Private room in house,1,1 shared bath,1.0,1.0
655,33.98053,-118.46515,Entire bungalow,4,1 bath,2.0,4.0
656,34.038579999999996,-118.32636000000001,Private room in house,2,1 shared bath,1.0,2.0
657,33.98952,-118.46772,Entire apartment,6,1 bath,2.0,2.0
660,34.115109999999994,-118.33183000000001,Entire apartment,2,1 bath,1.0,1.0
662,33.991409999999995,-118.47743999999999,Entire apartment,6,1 bath,2.0,2.0
665,34.02668,-118.40051000000001,Entire apartment,2,1 bath,1.0,1.0
666,34.075720000000004,-118.38343,Private room in apartment,2,2 baths,1.0,2.0
671,34.10623,-118.29263,Entire apartment,4,1 bath,2.0,3.0
672,34.107659999999996,-118.32011999999999,Private room in apartment,2,1 shared bath,1.0,1.0
673,33.98999,-118.46486999999999,Entire bungalow,2,2 baths,1.0,1.0
675,34.19311,-118.63705,Entire guest suite,3,1 bath,1.0,2.0
676,34.10049,-118.34347,Private room in apartment,2,2 baths,1.0,1.0
677,33.99154,-118.47667,Private room in house,1,1 shared bath,1.0,1.0
679,33.97757,-118.46325,Entire apartment,7,3.5 baths,4.0,6.0
680,34.09256,-118.33973999999999,Entire apartment,2,1 bath,2.0,3.0
681,34.09472,-118.35558999999999,Private room in apartment,2,1 bath,1.0,2.0
682,34.03812,-118.3331,Entire guest suite,2,1 bath,1.0,1.0
683,34.11637,-118.3146,Entire house,2,3 baths,2.0,2.0
684,34.07737,-118.33783000000001,Private room in house,1,1 private bath,1.0,1.0
685,34.15463,-118.3761,Entire guesthouse,4,1 bath,1.0,2.0
686,34.08361,-118.34048999999999,Entire house,4,2.5 baths,2.0,2.0
688,34.11022,-118.19736999999999,Private room in house,1,2 baths,1.0,1.0
690,34.1457,-118.43144,Entire guesthouse,2,1 bath,1.0,1.0
692,33.98229,-118.46786999999999,Entire loft,4,1 bath,1.0,2.0
693,34.08347,-118.34293000000001,Entire apartment,2,1 bath,1.0,1.0
694,33.98898,-118.47375,Private room in apartment,4,1 private bath,1.0,1.0
695,34.14813,-118.59455,Private room in house,2,1.5 shared baths,1.0,1.0
698,34.1111,-118.28567,Entire house,8,3 baths,4.0,7.0
699,34.1075,-118.36357,Entire villa,10,3.5 baths,4.0,5.0
700,34.06507,-118.34338999999999,Entire house,5,2.5 baths,2.0,3.0
